"Description"	"qvalue"
"GPCR ligand binding"	7.38319848511479e-11
"Class A/1 (Rhodopsin-like receptors)"	7.38319848511479e-11
"Peptide ligand-binding receptors"	4.72400266285637e-09
"Interleukin-4 and Interleukin-13 signaling"	1.63434784167765e-08
"Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell"	4.6587009440759e-08
"Neutrophil degranulation"	2.10009925143231e-06
"Chemokine receptors bind chemokines"	2.2005029655188e-06
"G alpha (i) signalling events"	2.20621433927565e-06
"Interleukin-10 signaling"	3.59866915259947e-06
"Signaling by Interleukins"	3.50578287136127e-05
"Interferon gamma signaling"	4.11840876734938e-05
"Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)"	0.00024989658771347
"Post-translational protein phosphorylation"	0.000391052996572305
"Regulation of TLR by endogenous ligand"	0.00133394373667356
"MyD88 deficiency (TLR2/4)"	0.00325848578282471
"HDL remodeling"	0.00325848578282471
"Plasma lipoprotein remodeling"	0.00390424662750596
"G alpha (q) signalling events"	0.00390424662750596
"IRAK4 deficiency (TLR2/4)"	0.00482361751105535
"Diseases of Immune System"	0.00490580792534478
"Diseases associated with the TLR signaling cascade"	0.00490580792534478
"Interferon Signaling"	0.0150481641856659
"Phosphorylation of CD3 and TCR zeta chains"	0.0206439540989579
"Binding and Uptake of Ligands by Scavenger Receptors"	0.033734635133237
